Generation,G1 Baldwin Fitness,G1 Fitness,G2 Baldwin Fitness,G2 Fitness,% Plasticity
50.0,0.69475,0.69475,0.7692625,0.7692625,0.550509090909091
100.0,0.7535375,0.7535375,0.7692625,0.7692625,0.5459636363636363
150.0,0.7535375,0.7535375,0.7692625,0.7692625,0.544290909090909
200.0,0.7535375,0.7535375,0.76895,0.76895,0.5514
250.0,0.7535375,0.7535375,0.7089875,0.7089875,0.4953090909090909
300.0,0.7495875,0.7495875,0.7089875,0.7089875,0.5274727272727273
350.0,0.7495875,0.7495875,0.7492375,0.7492375,0.4905818181818182
400.0,0.7495875,0.7495875,0.8874875,0.8874875,0.49170909090909093
450.0,0.7822875,0.7822875,0.8874875,0.8874875,0.35412727272727273
500.0,0.8038375,0.8038375,0.8874875,0.8874875,0.41425454545454543
550.0,0.7956125,0.7956125,0.8874875,0.8874875,0.45796363636363635
600.0,0.8925,0.8925,0.8874875,0.8874875,0.5127454545454545
650.0,0.8939,0.8939,0.8874875,0.8874875,0.5574727272727272
700.0,0.7961125,0.7961125,0.8874875,0.8874875,0.5198909090909091
750.0,0.7944875,0.7944875,0.8874875,0.8874875,0.5376727272727273
800.0,0.8006375,0.8006375,0.8874875,0.8874875,0.5885818181818182
850.0,0.8006375,0.8006375,0.7827625,0.7827625,0.5289272727272727
900.0,0.7970375,0.7970375,0.7827625,0.7827625,0.6540909090909091
950.0,0.7963625,0.7963625,0.7827625,0.7827625,0.6268727272727272
1000.0,0.80455,0.80455,0.7827625,0.7827625,0.5930363636363636
1050.0,0.80455,0.80455,0.80855,0.80855,0.5109090909090909
1100.0,0.8025375,0.8025375,0.80855,0.80855,0.5375454545454545
1150.0,0.8061625,0.8061625,0.80855,0.80855,0.5143454545454546
1200.0,0.8061625,0.8061625,0.79835,0.79835,0.4271636363636364
1250.0,0.8061625,0.8061625,0.81005,0.81005,0.4208727272727273
1300.0,0.8099,0.8099,0.81005,0.81005,0.4556
1350.0,0.8081625,0.8081625,0.81005,0.81005,0.42612727272727274
1400.0,0.80655,0.80655,0.81005,0.81005,0.4656181818181818
1450.0,0.80655,0.80655,0.7986625,0.7986625,0.4929454545454545
1500.0,0.80655,0.80655,0.7975875,0.7975875,0.4647636363636364
1550.0,0.80655,0.80655,0.7934625,0.7934625,0.47232727272727276
1600.0,0.8095,0.8095,0.7934625,0.7934625,0.43121818181818183
1650.0,0.8058625,0.8058625,0.7934625,0.7934625,0.43421818181818184
1700.0,0.8079875,0.8079875,0.7934625,0.7934625,0.3902727272727272
1750.0,0.8054875,0.8054875,0.7934625,0.7934625,0.4457090909090909
1800.0,0.8061125,0.8061125,0.7934625,0.7934625,0.47201818181818184
1850.0,0.8061125,0.8061125,0.800375,0.800375,0.6632000000000001
1900.0,0.8068125,0.8068125,0.800375,0.800375,0.6294181818181818
1950.0,0.8059625,0.8059625,0.800375,0.800375,0.5884181818181818
2000.0,0.810375,0.810375,0.800375,0.800375,0.5921636363636363
2050.0,0.810375,0.810375,0.805075,0.805075,0.5355454545454545
2100.0,0.810375,0.810375,0.8002875,0.8002875,0.5340545454545454
2150.0,0.8099875,0.8099875,0.8002875,0.8002875,0.5023090909090909
2200.0,0.8099875,0.8099875,0.810825,0.810825,0.4827272727272727
2250.0,0.8053875,0.8053875,0.810825,0.810825,0.5057636363636364
2300.0,0.8474,0.8474,0.810825,0.810825,0.5244545454545455
2350.0,0.8474,0.8474,0.8114,0.8114,0.6192727272727273
2400.0,0.849075,0.849075,0.8114,0.8114,0.5252545454545454
2450.0,0.843275,0.843275,0.8114,0.8114,0.36885454545454543
2500.0,0.843275,0.843275,0.8465375,0.8465375,0.45434545454545455
2550.0,0.843275,0.843275,0.80115,0.80115,0.45916363636363644
2600.0,0.8514,0.8514,0.80115,0.80115,0.5153818181818182
2650.0,0.8514,0.8514,0.8508375,0.8508375,0.5857272727272728
2700.0,0.8514,0.8514,0.9107875,0.9107875,0.6058545454545454
2750.0,0.8514,0.8514,0.91225,0.91225,0.5879636363636364
2800.0,0.799475,0.799475,0.91225,0.91225,0.609909090909091
2850.0,0.799475,0.799475,0.9156625,0.9156625,0.5213272727272728
2900.0,0.799475,0.799475,0.9068625,0.9068625,0.39183636363636365
2950.0,0.889675,0.889675,0.9068625,0.9068625,0.40905454545454545
3000.0,0.889675,0.889675,0.8010125,0.8010125,0.43916363636363637
3050.0,0.8863375,0.8863375,0.8010125,0.8010125,0.2942909090909091
3100.0,0.8863375,0.8863375,0.7967375,0.7967375,0.3895818181818182
3150.0,0.8863375,0.8863375,0.7915375,0.7915375,0.4464
3200.0,0.8896,0.8896,0.7915375,0.7915375,0.5071272727272728
3250.0,0.8896,0.8896,0.80365,0.80365,0.4336
3300.0,0.8896,0.8896,0.8152125,0.8152125,0.45634545454545455
3350.0,0.9015375,0.9015375,0.8152125,0.8152125,0.5755636363636364
3400.0,0.9015375,0.9015375,0.916125,0.916125,0.6130727272727273
3450.0,0.8814,0.8814,0.916125,0.916125,0.5066545454545455
3500.0,0.9046625,0.9046625,0.916125,0.916125,0.5338909090909091
3550.0,0.901175,0.901175,0.916125,0.916125,0.49112727272727275
3600.0,0.901175,0.901175,0.9123625,0.9123625,0.6152363636363636
3650.0,0.901175,0.901175,0.9108625,0.9108625,0.34803636363636364
3700.0,0.901175,0.901175,0.923,0.923,0.38667272727272733
3750.0,0.8947,0.8947,0.923,0.923,0.4063454545454546
3800.0,0.9059125,0.9059125,0.923,0.923,0.4449818181818182
3850.0,0.9059125,0.9059125,0.8169875,0.8169875,0.5047818181818182
3900.0,0.9041625,0.9041625,0.8169875,0.8169875,0.46734545454545456
3950.0,0.9041625,0.9041625,0.9129125,0.9129125,0.5301636363636364
4000.0,0.898675,0.898675,0.9129125,0.9129125,0.5783090909090909
4050.0,0.898675,0.898675,0.928075,0.928075,0.683509090909091
4100.0,0.9097125,0.9097125,0.928075,0.928075,0.6797090909090909
4150.0,0.9097125,0.9097125,0.9171,0.9171,0.6482363636363637
4200.0,0.9038125,0.9038125,0.9171,0.9171,0.6198
4250.0,0.903575,0.903575,0.9171,0.9171,0.5281636363636364
4300.0,0.903575,0.903575,0.921125,0.921125,0.6525272727272727
4350.0,0.903575,0.903575,0.909575,0.909575,0.682
4400.0,0.903575,0.903575,0.9070625,0.9070625,0.6510545454545454
4450.0,0.9027625,0.9027625,0.9070625,0.9070625,0.6159818181818182
4500.0,0.9027625,0.9027625,0.9106125,0.9106125,0.41705454545454546
4550.0,0.802225,0.802225,0.9106125,0.9106125,0.3059272727272727
4600.0,0.802225,0.802225,0.9088125,0.9088125,0.3386363636363636
4650.0,0.7950625,0.7950625,0.9088125,0.9088125,0.37727272727272726
4700.0,0.7944,0.7944,0.9088125,0.9088125,0.44578181818181817
4750.0,0.8043,0.8043,0.9088125,0.9088125,0.4753090909090909
4800.0,0.8059625,0.8059625,0.9088125,0.9088125,0.4647818181818182
4850.0,0.8059625,0.8059625,0.917675,0.917675,0.380290909090909
4900.0,0.8059625,0.8059625,0.9170375,0.9170375,0.3806181818181818
4950.0,0.8059625,0.8059625,0.909575,0.909575,0.4520363636363636
5000.0,0.791825,0.791825,0.909575,0.909575,0.486
5050.0,0.7875625,0.7875625,0.909575,0.909575,0.35841818181818186
5100.0,0.7923875,0.7923875,0.909575,0.909575,0.39354545454545453
5150.0,0.7923875,0.7923875,0.9075875,0.9075875,0.38836363636363636
5200.0,0.7923875,0.7923875,0.910025,0.910025,0.4331818181818182
5250.0,0.7923875,0.7923875,0.905175,0.905175,0.26232727272727274
5300.0,0.7923875,0.7923875,0.9032875,0.9032875,0.3594909090909091
5350.0,0.7923875,0.7923875,0.903125,0.903125,0.3372727272727273
5400.0,0.80315,0.80315,0.903125,0.903125,0.34981818181818186
5450.0,0.8751625,0.8751625,0.903125,0.903125,0.29112727272727273
5500.0,0.8751625,0.8751625,0.8020875,0.8020875,0.32947272727272725
5550.0,0.8751625,0.8751625,0.7686625,0.7686625,0.46207272727272725
5600.0,0.88035,0.88035,0.7686625,0.7686625,0.5317636363636363
5650.0,0.88035,0.88035,0.7888625,0.7888625,0.5422
5700.0,0.88035,0.88035,0.883175,0.883175,0.40758181818181816
5750.0,0.8967625,0.8967625,0.883175,0.883175,0.4334909090909091
5800.0,0.902725,0.902725,0.883175,0.883175,0.36
5850.0,0.902725,0.902725,0.923,0.923,0.4052
5900.0,0.906025,0.906025,0.923,0.923,0.46389090909090913
5950.0,0.906725,0.906725,0.923,0.923,0.2842545454545455
6000.0,0.906725,0.906725,0.91655,0.91655,0.35478181818181814
6050.0,0.910625,0.910625,0.91655,0.91655,0.417090909090909
6100.0,0.910625,0.910625,0.92175,0.92175,0.4556545454545455
6150.0,0.9014125,0.9014125,0.92175,0.92175,0.3799090909090909
6200.0,0.9014125,0.9014125,0.9023625,0.9023625,0.34583636363636366
6250.0,0.9014125,0.9014125,0.910275,0.910275,0.3068181818181818
6300.0,0.9014125,0.9014125,0.912,0.912,0.4263272727272727
6350.0,0.9014125,0.9014125,0.9112,0.9112,0.4672727272727273
6400.0,0.9014125,0.9014125,0.912125,0.912125,0.5019454545454546
6450.0,0.9014125,0.9014125,0.9202375,0.9202375,0.5191636363636364
6500.0,0.9014125,0.9014125,0.906025,0.906025,0.3946
6550.0,0.9014125,0.9014125,0.9110125,0.9110125,0.36579999999999996
6600.0,0.9014125,0.9014125,0.9196625,0.9196625,0.41058181818181816
6650.0,0.9064625,0.9064625,0.9196625,0.9196625,0.39538181818181817
6700.0,0.90865,0.90865,0.9196625,0.9196625,0.4892909090909091
6750.0,0.9056875,0.9056875,0.9196625,0.9196625,0.4706
6800.0,0.9056875,0.9056875,0.9061125,0.9061125,0.5902181818181819
6850.0,0.9056875,0.9056875,0.9169125,0.9169125,0.5962727272727273
6900.0,0.9036125,0.9036125,0.9169125,0.9169125,0.6691454545454546
6950.0,0.907475,0.907475,0.9169125,0.9169125,0.5942727272727273
7000.0,0.9051375,0.9051375,0.9169125,0.9169125,0.6147818181818182
7050.0,0.9051375,0.9051375,0.9189,0.9189,0.5166
7100.0,0.9026,0.9026,0.9189,0.9189,0.5281454545454546
